"";"Var1";"Freq"
"524";"Parasola";2
"525";"Parenglerula";2
"526";"Peroneutypa";2
"527";"Peyritschiella";2
"528";"Phaeoclavulina";2
"529";"Phaeodothis";2
"530";"Phaeolus";2
"531";"Phillipsia";2
"532";"Phomatospora";2
"533";"Phragmidiella";2
"534";"Phyllogyalidea";2
"535";"Physma";2
"536";"Plasmopara";2
"537";"Pneumocystis";2
"538";"Podosporium";2
"539";"Porphyrellus";2
"540";"Prillieuxina";2
"541";"Pseudoacrodictys";2
"542";"Pseudoperonospora";2
"543";"Pseudopestalotiopsis";2
"544";"Purpureocillium";2
"545";"Pyrenopolyporus";2
"546";"Pyrrhoderma";2
"547";"Racocetra";2
"548";"Ranadivia";2
"549";"Retiboletus";2
"550";"Rhodotorula";2
"551";"Rosellinia";2
"552";"Saprochaete";2
"553";"Schizophyllum";2
"554";"Sclerotium";2
"555";"Segestria";2
"556";"Septoglomus";2
"557";"Setameliola";2
"558";"Setulipes";2
"559";"Sorataea";2
"560";"Spermosporella";2
"561";"Sphaeronaema";2
"562";"Sphaerulina";2
"563";"Spiloma";2
"564";"Stagonosporopsis";2
"565";"Steccherinum";2
"566";"Stenocarpella";2
"567";"Stigmochora";2
"568";"Stilbella";2
"569";"Stilbocrea";2
"570";"Stilbum";2
"571";"Sympodiophora";2
"572";"Teratosperma";2
"573";"Testicularia";2
"574";"Tetrapyrgos";2
"575";"Thamnomyces";2
"576";"Thelephora";2
"577";"Thelotrema";2
"578";"Tolyposporella";2
"579";"Triadelphia";2
"580";"Trichaptum";2
"581";"Tricharia";2
"582";"Trichobotrys";2
"583";"Trichoscypha";2
"584";"Trogia";2
"585";"Trypethelium";2
"586";"Tylopilus";2
"587";"Unguiculella";2
"588";"Uredopeltis";2
"589";"Ustilaginoidea";2
"590";"Valsaria";2
"591";"Volvopluteus";2
"592";"Xanthagaricus";2
"593";"Xepicula";2
"594";"Xylosphaera";2
"595";"Ypsilospora";2
"596";"Zanclospora";2
"597";"Abortiporus";1
"598";"Acanthostoma";1
"599";"Acarocybe";1
"600";"Acaulium";1
"601";"Achrotelium";1
"602";"Acladium";1
"603";"Acremoniella";1
"604";"Acremoniula";1
"605";"Acrophialophora";1
"606";"Acrostaurus";1
"607";"Actinocladium";1
"608";"Afrocantharellus";1
"609";"Afrocastellanoa";1
"610";"Albifimbria";1
"611";"Albonectria";1
"612";"Allophoma";1
"613";"Allothyriopsis";1
"614";"Amaurodon";1
"615";"Ambrosiella";1
"616";"Amniculicola";1
"617";"Ampelomyces";1
"618";"Amphisphaerella";1
"619";"Amphisphaeria";1
"620";"Anhellia";1
"621";"Annellodochium";1
"622";"Annellolacinia";1
"623";"Anteaglonium";1
"624";"Antennospora";1
