"";"n";"first";"last"
"Guzman-Davalos";1;2008;2008
"Gwary";1;2007;2007
"Hambler";1;1964;1964
"Harris";1;1960;1960
"Hennings";7;1893;1905
"Holland";1;1922;1922
"Huang";2;1971;1973
"Hyde";1;1999;1999
"Ing";3;1964;1968
"Ingold";2;1956;1959
"Ite";1;2014;2014
"Kehinde";1;2013;2013
"Kolawole";1;2013;2013
"Kutama";1;2010;2010
"Leakey";1;1964;1964
"Ling";1;1953;1953
"Lockwood";1;2007;2007
"Mahoney";1;1969;1969
"Makun";1;2007;2007
"Nicholson";1;2000;2000
"Nwokocha";1;2015;2015
"Ogundana";2;1979;1982
"Ogunlana";1;1975;1975
"Okafor";1;1965;1965
"Okhuoya";1;2010;2010
"Okigbo";1;2010;2010
"Okoli";1;2007;2007
"Omoifo";1;1996;1996
"Osagualekhor";1;2005;2005
"Oso";4;1975;1977
"Osuji";1;2013;2013
"Oyetayo";1;2011;2011
"Oyetunji";1;2007;2007
"Palisot de Beauvois";2;1804;1807
"Rodriguez";1;2002;2002
"Sanginga";1;1999;1999
"Scholz";1;1981;1981
"Smith";1;1956;1956
"Stchigel";1;2000;2000
"Talbot";2;1951;1956
"Thomas JR";2;1987;1987
"Thorold";1;1952;1952
"Tkalcec";1;2010;2010
"van der Westhuizen";1;1990;1990
"West";1;1938;1938
"Whalley";1;1988;1988
"Ames";1;1963;1963
"Balazuc";1;1980;1980
"Bouhot";1;1966;1966
"Jardine";1;1965;1965
"Montagne";1;1845;1845
"Segretain";1;1959;1959
"Tehler";1;1986;1986
"Acharius";5;1803;1814
"Afzelius";1;1860;1860
"Beeli";1;1938;1938
"Berthet";1;1966;1966
"Cejp";1;1969;1969
"Chen J";1;2007;2007
"Clay";1;1993;1993
"Crane";1;1981;1981
"Dietel";1;1895;1895
"Fisher";1;1983;1983
"Jonsyn";1;1988;1988
"Kawakami";1;2008;2008
"Marbach";1;2000;2000
"Mulder";1;1982;1982
"Mueller E";1;1962;1962
"Mueller J";1;1893;1893
"Petrak";3;1947;1954
"Salisbury";1;1971;1971
"Sankaran";1;1991;1991
"Singh";2;1972;1976
"Vainio";1;1901;1901
"Yamamoto";1;1996;1996
"Busse";1;1906;1906
"Fernandez-Garcia";1;1990;1990
"Kamou";2;2015;2017
"Kukwa";1;2014;2014
"Peterson";1;2010;2010
"Rao";1;1975;1975
"Saccardo";1;1913;1913
"van de Putte";1;2009;2009
