"x"
"Psorotheciopsis patellarioides";8
"Puccinia kraussiana";8
"Rhizophagus fasciculatus";8
"Schizothyrium rufulum";8
"Spegazzinia deightonii";8
"Sphaerobolus stellatus";8
"Uredo longaensis";8
"Uromyces decoratus";8
"Ustilago microchloae";8
"Zasmidium musigenum";8
"Zygosporium minus";8
"Acrodictys elaeidicola";7
"Aecidium crassocephali";7
"Agaricus volvatulus";7
"Alternaria porri";7
"Alternaria zinniae";7
"Amanita craseoderma";7
"Arcyria cinerea";7
"Aspergillus parasiticus";7
"Aspergillus ustus";7
"Asteridiella hansfordii";7
"Asteridiella terminaliae";7
"Asterothyrium microsporum";7
"Bipolaris cynodontis";7
"Cantharellus rufopunctatus";7
"Ceratiomyxa fruticulosa";7
"Ceratocystis fimbriata";7
"Cercospora digitariae";7
"Claroideoglomus etunicatum";7
"Clathrus camerunensis";7
"Clypeosphaerella calotropidis";7
"Colletotrichum coffeanum";7
"Colletotrichum sublineola";7
"Conidiosporomyces echinospermus";7
"Coprinellus disseminatus";7
"Coprinopsis atramentaria";7
"Crinipellis dusenii";7
"Crinipellis minutula";7
"Dacryopinax spathularia";7
"Dactuliophora elongata";7
"Diachea leucopoda";7
"Dicyma ovalispora ";7
"Elsinoe fawcettii";7
"Endophyllum cassiae";7
"Funalia funalis";7
"Funneliformis constrictus";7
"Fusarium xylarioides";7
"Ganoderma australe";7
"Gigaspora gigantea";7
"Gloeosporium musarum";7
"Glomus clavisporum";7
"Glomus sinuosum";7
"Helminthosporium albiziae";7
"Hymenagaricus alphitochrous";7
"Lactarius kabansus";7
"Lactifluus medusae";7
"Lactifluus pseudogymnocarpus";7
"Lentinus arcularius ";7
"Lignosus sacer";7
"Lycogala epidendrum";7
"Macrolepiota procera";7
"Marasmius bekolacongoli";7
"Marasmius neosessilis";7
"Meliola brillantaisiae";7
"Meliola diospyri";7
"Meliola mitragynicola";7
"Meliola reflexa";7
"Meliola tamarindi";7
"Micropeltis cassipoureae ";7
"Micropsalliota campestroides";7
"Neocosmospora ipomoeae ";7
"Neopodoconis ampullacea";7
"Panus conchatus";7
"Parodiella hedysari";7
"Passalora cajani";7
"Passalora capsicicola";7
"Passalora vaginae";7
"Penicillium digitatum";7
"Periconia atropurpurea";7
"Periconia sacchari";7
"Phaeocytostroma sacchari";7
"Phaeodothis winteri";7
"Phakopsora pachyrhizi";7
"Phyllachora minutissima";7
"Pisolithus arhizus ";7
"Pleurophragmium capense";7
"Podoconis anacardii";7
"Podoscypha involuta";7
"Puccinia fragosoana";7
"Puccinia ignava";7
"Puccinia oahuensis";7
"Puccinia purpurea";7
"Puccinia rottboelliae";7
"Puccinia rufipes";7
"Puccinia zorniae";7
"Pucciniosira mitragynae";7
"Pyrrhoderma lamaoense";7
"Rhopalostroma angolense";7
"Russula liberiensis";7
"Spiropes guareicola";7
"Spiropes helleri";7
"Spiropes palmetto";7
"Sporidesmium macrurum";7
"Sporisorium chudaei";7
"Stachybotrys kampalensis";7
"Stachybotrys theobromae";7
"Stemonitopsis gracilis";7
"Stigmochora deightonii";7
"Tetraploa aristata";7
"Tilletia barclayana";7
"Trametes cingulata";7
"Uromyces clignyi";7
"Uromyces commelinae";7
"Ustilago syntherismae";7
"Xylaria feejeensis";7
"Acaulospora scrobiculata";6
"Acrodictys balladynae";6
"Aecidium flavidum";6
"Aecidium hibisci-surattensis";6
"Afrocastellanoa ivoryana";6
"Akanthomyces gracilis";6
"Alternaria crassa";6
"Alternaria cucumerina";6
"Alternaria ricini";6
"Amanita hemibapha";6
"Amanita loosei";6
"Annellolacinia dinemasporioides";6
"Annellophora africana";6
"Annulohypoxylon annulatum";6
"Anthracocystis anadelphiae";6
"Apiospora camptospora";6
"Armillaria heimii";6
"Arthrinium arundinis ";6
"Aspergillus sydowii";6
"Aspergillus wentii";6
"Asteridiella naucleae";6
"Asteridiella tetracerae";6
"Asteridiella ugandensis";6
"Asterothyrium octomerum";6
"Atractilina parasitica";6
"Auricularia nigricans ";6
"Balladyna leonensis";6
"Beltrania africana";6
"Beniowskia sphaeroidea";6
"Bipolaris heveae";6
"Bipolaris sacchari";6
"Botryosphaeria plicatula";6
"Brachysporiella gayana";6
"Calopadia fusca";6
"Cercospora brassicicola";6
"Cercospora guineensis";6
"Cercospora tageticola";6
"Cerotelium fici";6
"Chroodiscus mirificus";6
"Claviceps pallida";6
"Clonostachys rosea";6
"Corynespora calicioidea";6
"Crinipellis pseudostipitaria";6
"Curvularia deightonii";6
"Curvularia fallax";6
"Cyathus poeppigii";6
"Dietelia codiaei";6
"Dirinaria picta";6
"Eballistra oryzae";6
"Ellisembia bambusicola";6
"Ellisembia leonensis";6
