"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Phyllachorales";1311;0.949628406275805;0;0;0;0;0;0;24;1.57;17;2.13;0;0;3;0.26;0;0;0;0;1;1.18;9;0.68;1;0.33;29;1.78;3;0.55;37;0.78
"Pleosporales";9410;6.81617338143045;6;1.42;22;16.67;7;5.98;68;4.45;50;6.27;3;15.79;50;4.35;8;5.03;14;11.97;6;7.06;81;6.08;27;8.97;93;5.71;23;4.21;206;4.36
"Pneumocystales";5;0.00362177119098324;0;0;0;0;1;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Pyrenulales";188;0.13617859678097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.3;0;0;10;0.61;0;0;12;0.25
"Rhizocarpales";489;0.354209222478161;0;0;0;0;0;0;0;0;1;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Rhytismatales";769;0.557028409173222;0;0;0;0;0;0;1;0.07;1;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.12;0;0;4;0.08
"Saccharomycetales";1110;0.804033204398279;0;0;1;0.76;0;0;7;0.46;0;0;0;0;2;0.17;3;1.89;0;0;0;0;5;0.38;0;0;3;0.18;0;0;15;0.32
"Sordariales";1398;1.01264722499891;0;0;1;0.76;1;0.85;9;0.59;2;0.25;0;0;11;0.96;1;0.63;0;0;0;0;19;1.43;2;0.66;8;0.49;0;0;44;0.93
"Strigulales";67;0.0485317339591754;0;0;0;0;1;0.85;5;0.33;9;1.13;0;0;9;0.78;0;0;0;0;0;0;8;0.6;0;0;1;0.06;1;0.18;17;0.36
"Teloschistales";1007;0.729424717864024;0;0;0;0;2;1.71;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;5;0.38;0;0;0;0;2;0.37;9;0.19
