"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Ophiostomatales";354;0.256421400321613;0;0;0;0;0;0;3;0.2;0;0;0;0;3;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.1
"Orbiliales";406;0.294087820707839;0;0;0;0;0;0;1;0.07;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.04
"Ostropales";1358;0.983673055471048;0;0;0;0;4;3.39;21;1.39;56;6.9;0;0;62;5.41;1;0.63;0;0;0;0;41;3.22;1;0.36;48;3.04;6;1.14;157;3.25
"Parasympodiellales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Patellariales";134;0.0970634679183508;0;0;0;0;0;0;2;0.13;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;2;0.04
"Peltigerales";668;0.483868631115361;0;0;0;0;0;0;2;0.13;4;0.49;0;0;6;0.52;0;0;0;0;0;0;3;0.24;0;0;2;0.13;1;0.19;12;0.25
"Pertusariales";376;0.27235719356194;0;0;0;0;0;0;1;0.07;1;0.12;0;0;1;0.09;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;2;0.04
"Pezizales";2660;1.92678227360308;2;0.46;0;0;0;0;6;0.4;1;0.12;0;0;1;0.09;1;0.63;0;0;0;0;9;0.71;1;0.36;6;0.38;4;0.76;21;0.43
"Phomatosporales";81;0.0586726932939285;0;0;0;0;0;0;0;0;2;0.25;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Phyllachorales";1311;0.949628406275805;0;0;0;0;0;0;24;1.59;17;2.09;0;0;3;0.26;0;0;0;0;1;1.18;8;0.63;1;0.36;27;1.71;3;0.57;38;0.79
"Pleosporales";9410;6.81617338143045;8;1.85;22;16.79;7;5.93;68;4.49;51;6.28;3;15.79;50;4.36;8;5.03;10;9.71;7;8.24;74;5.81;25;9.03;83;5.26;24;4.56;213;4.41
"Pneumocystales";5;0.00362177119098324;0;0;0;0;1;0.85;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;1;0.36;0;0;0;0;2;0.04
"Pyrenulales";188;0.13617859678097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.31;0;0;11;0.7;0;0;13;0.27
"Rhizocarpales";489;0.354209222478161;0;0;0;0;0;0;0;0;1;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Rhytismatales";769;0.557028409173222;0;0;0;0;0;0;1;0.07;1;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.13;0;0;4;0.08
"Saccharomycetales";1110;0.804033204398279;0;0;1;0.76;0;0;7;0.46;0;0;0;0;3;0.26;3;1.89;0;0;0;0;8;0.63;0;0;2;0.13;0;0;18;0.37
"Sordariales";1398;1.01264722499891;0;0;1;0.76;1;0.85;9;0.59;2;0.25;0;0;11;0.96;1;0.63;0;0;0;0;19;1.49;2;0.72;7;0.44;0;0;44;0.91
"Strigulales";67;0.0485317339591754;0;0;0;0;1;0.85;6;0.4;10;1.23;0;0;9;0.79;0;0;0;0;0;0;8;0.63;0;0;1;0.06;1;0.19;18;0.37
"Teloschistales";1007;0.729424717864024;0;0;0;0;2;1.69;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;5;0.39;0;0;0;0;2;0.38;9;0.19
"Torpedosporales";3;0.00217306271458994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Trichosphaeriales";144;0.104307010300317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trypetheliales";148;0.107204427253104;0;0;0;0;2;1.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;1;0.36;8;0.51;0;0;12;0.25
"Tubeufiales";369;0.267286713894563;0;0;0;0;0;0;4;0.26;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;2;0.13;0;0;6;0.12
"Valsariales";35;0.0253523983368827;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;2;0.13;0;0;2;0.04
"Venturiales";545;0.394773059817173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.18;1;0.08;0;0;1;0.06;0;0;3;0.06
"Vermiculariopsiellales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Verrucariales";364;0.26366494270358;0;0;0;0;0;0;0;0;4;0.49;0;0;1;0.09;0;0;0;0;0;0;1;0.08;0;0;5;0.32;0;0;10;0.21
"Wiesneriomycetales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Xylariales";2640;1.91229518883915;4;0.93;3;2.29;1;0.85;81;5.35;6;0.74;0;0;21;1.83;1;0.63;1;0.97;2;2.35;31;2.44;3;1.08;60;3.8;16;3.04;136;2.82
"Basidiomycota";48405;35.0623668999087;248;57.41;67;51.15;12;10.17;482;31.86;256;31.53;0;0;346;30.19;39;24.53;32;31.07;47;55.29;513;40.3;136;49.1;331;20.98;306;58.17;1555;32.2
"Agaricales";23225;16.8231271821171;104;24.07;22;16.79;1;0.85;135;8.92;34;4.19;0;0;99;8.64;13;8.18;11;10.68;19;22.35;203;15.95;38;13.72;75;4.75;94;17.87;519;10.75
"Agrostilbales";66;0.0478073797209787;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;2;0.04
"Atheliales";110;0.0796789662016312;1;0.23;0;0;1;0.85;1;0.07;0;0;0;0;1;0.09;0;0;0;0;0;0;1;0.08;1;0.36;1;0.06;0;0;1;0.02
"Auriculariales";288;0.208614020600635;2;0.46;0;0;0;0;6;0.4;1;0.12;0;0;4;0.35;0;0;0;0;0;0;8;0.63;2;0.72;4;0.25;5;0.95;13;0.27
"Basidiomycota_Incertae_sedis";NA;NA;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Boletales";2173;1.57402175960132;14;3.24;6;4.58;1;0.85;9;0.59;16;1.97;0;0;23;2.01;11;6.92;0;0;0;0;4;0.31;19;6.86;7;0.44;34;6.46;71;1.47
"Cantharellales";750;0.543265678647486;10;2.31;3;2.29;1;0.85;9;0.59;3;0.37;0;0;6;0.52;0;0;1;0.97;0;0;7;0.55;3;1.08;3;0.19;5;0.95;22;0.46
"Ceraceosorales";3;0.00217306271458994;1;0.23;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.19;1;0.02
"Corticiales";248;0.179639851072769;0;0;0;0;0;0;0;0;1;0.12;0;0;2;0.17;1;0.63;0;0;0;0;1;0.08;0;0;2;0.13;0;0;3;0.06
"Dacrymycetales";171;0.123864574731627;0;0;0;0;1;0.85;2;0.13;0;0;0;0;0;0;0;0;0;0;0;0;2;0.16;0;0;2;0.13;0;0;2;0.04
"Doassansiales";55;0.0398394831008156;1;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.97;0;0;0;0;0;0;0;0;0;0;2;0.04
"Entylomatales";273;0.197748707027685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Exobasidiales";166;0.120242803540644;1;0.23;1;0.76;0;0;2;0.13;1;0.12;0;0;0;0;0;0;1;0.97;2;2.35;1;0.08;1;0.36;1;0.06;0;0;4;0.08
"Geastrales";115;0.0833007373926145;2;0.46;0;0;0;0;7;0.46;0;0;0;0;0;0;0;0;1;0.97;0;0;11;0.86;0;0;1;0.06;1;0.19;11;0.23
"Georgefischeriales";44;0.0318715864806525;0;0;0;0;0;0;1;0.07;4;0.49;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;6;0.12
"Gomphales";488;0.353484868239964;2;0.46;0;0;0;0;1;0.07;1;0.12;0;0;2;0.17;1;0.63;0;0;0;0;2;0.16;0;0;0;0;1;0.19;7;0.14
"Helicobasidiales";36;0.0260767525750793;0;0;0;0;0;0;2;0.13;0;0;0;0;1;0.09;0;0;0;0;1;1.18;1;0.08;0;0;0;0;0;0;2;0.04
"Hymenochaetales";1019;0.738116968722384;11;2.55;2;1.53;0;0;17;1.12;5;0.62;0;0;3;0.26;1;0.63;1;0.97;1;1.18;13;1.02;6;2.17;15;0.95;8;1.52;45;0.93
"Hysterangiales";145;0.105031364538514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lepidostromatales";5;0.00362177119098324;1;0.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Malasseziales";22;0.0159357932403262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Microbotryales";164;0.11879409506425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.36;0;0;0;0;1;0.02
"Phallales";172;0.124588928969823;1;0.23;1;0.76;0;0;14;0.93;1;0.12;0;0;1;0.09;0;0;0;0;1;1.18;14;1.1;2;0.72;2;0.13;4;0.76;23;0.48
"Polyporales";3553;2.57363060831269;32;7.41;7;5.34;4;3.39;87;5.75;31;3.82;0;0;19;1.66;3;1.89;7;6.8;13;15.29;78;6.13;27;9.75;77;4.88;35;6.65;223;4.62
"Pucciniales";8014;5.80497486490793;5;1.16;1;0.76;1;0.85;145;9.58;97;11.95;0;0;122;10.65;1;0.63;2;1.94;4;4.71;124;9.74;5;1.81;99;6.27;17;3.23;332;6.88
"Russulales";3137;2.27229924522288;41;9.49;15;11.45;0;0;12;0.79;27;3.33;0;0;45;3.93;5;3.14;0;0;0;0;10;0.79;17;6.14;3;0.19;75;14.26;148;3.06
