status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;only reference;only year;Benin (Dahomey);Burkina-Faso;Gambia;Ghana (Gold Coast);Guinea;Guinea Bissau;Ivory Coast;Liberia;Mali;Niger;Nigeria;Senegal;Sierra Leone;Togo;Comments
accepted;Fungi;Ascomycota;Xylariales;Hypoxylaceae;;Hypoxylon haematostroma;Mont.;m;saprotrophic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Ascomycota;Xylariales;Hypoxylaceae;;Hypoxylon suborbiculare;Welw. & Curr.;m;saprotrophic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Ascomycota;Xylariales;Xylariaceae;;Xylaria grammica;(Mont.) Mont.;m;saprotrophic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;x;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Hexagonia klotzschii;(Berk.) Sacc.;m;saprotrophic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;type of a new species;Leptoporus asperulus;Pat.;m;saprotrophic;on dead wood;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Schizophyllaceae;;Schizophyllum commune;Fr;m;saprotrophic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Amoebozoa;Mycetozoa;Liceida;Reticulariidae;;Lycogala epidendrum;(J.C. Buxb. ex L.) Fr.;m;phagocytotic;;;Patouillard 1907: 82;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Ascomycota;Xylariales;Xylariaceae;;Daldinia eschscholtzii;(Ehrenb.) Rehm;m;saprotrophic;;;Patouillard 1907: 82, cited as Daldinia concentrica;Patouillard 1907;1907;;;;;x;;;;;;;;;;D. concentrica does not occur in the tropics
accepted;Fungi;Basidiomycota;Polyporales;Ganodermataceae;;Amauroderma rugosum;(Blume & T. Nees) Torrend;m;saprotrophic;;;Patouillard 1907: 82, cited as Ganoderma rugosum;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Hymenochaetales;Hymenochaetaceae;;Phellinus gilvus;(Schwein.) Pat.;m;saprotrophic or parasitic on vascular plants;;;Patouillard 1907: 82, cited as Phellinus scruposus;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Pycnoporus cinnabarinus;(Jacq.) P. Karst.;m;saprotrophic;;;Patouillard 1907: 82, cited as Trametes cinnabarina;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;type of a new species (synonym);Trametes marianna;(Pers.) Ryvarden;m;saprotrophic;on dead wood;;Patouillard 1907: 82, cited as Trametes nitidula;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Funalia funalis;(Fr.) Pat.;m;saprotrophic;;;Patouillard 1907: 83;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;type of a new species (synonym);Funalia floccosa;(Jungh.) Zmitr. & Malysheva;m;saprotrophic;on dead wood;;Patouillard 1907: 83, cited as Coriolus chudaei;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Hymenochaetales;Hymenochaetaceae;;Phellinus gilvus;(Schwein.) Pat.;m;saprotrophic;;;Patouillard 1907: 83, cited as Phellinus scruposus;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Hymenochaetales;Hymenochaetaceae;type of a new species;Tropicoporus rudis;(Pat.) L.W. Zhou & Y.C. Dai;m;saprotrophic;at the basis of trunks;;Patouillard 1907: 83, cited as Xanthochrous rudis;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Hymenochaetales;Hymenochaetaceae;;Fuscoporia senex;(Nees & Mont.) Ghob.-Nejh.;m;saprotrophic;;;Patouillard 1907: 83, cited as Xanthochrous senex;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;type of a new species;Tulostoma chudaei;Pat.;m;saprotrophic;on soil in millet cultivation;;Patouillard 1907: 84;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;type of a new species;Xerotus luteolus;Pat.;m;saprotrophic;on dead branches;;Patouillard 1907: 84;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Schizophyllaceae;;Schizophyllum commune;Fr;m;saprotrophic;;;Patouillard 1907: 84;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Fomes fulvellus;(Bres.) Sacc.;m;saprotrophic;;;Patouillard 1907: 84, cited as Ganoderma fulvellum;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Ascomycota;Pezizales;Pyronemataceae;type of a new species;Humaria minutula;Pat.;m;saprotrophic;on dead twigs on soil;;Patouillard 1907: 85;Patouillard 1907;1907;;;;;;;;;x;;;;;;
accepted;Fungi;Ascomycota;Pleosporales;Pleosporaceae;;Alternaria elegans;E.G. Simmons & J.C. David;p;parasitic on vascular plants;Lycopersicon esculentum;Solanaceae;Paul et al. 2015: 386;Paul et al. 2015;2015;;x;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Hymenagaricus alphitochrous;(Berk. & Broome) Heinem.;m;saprotrophic;on dead wood;;Pegler & Rayner 1969: 353, cited as Agaricus alphitochrous;Pegler & Rayner 1969;1969;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Agaricus trisulphuratus;Berk.;m;saprotrophic;on grass, soil;;Pegler & Rayner 1969: 358;Pegler & Rayner 1969 ;1969;;;;x;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;aff.;Chlorophyllum molybdites ;(G. Mey.) Masse;m;saprotrophic;on the ground;;Pegler & Rayner 1969: 360;Pegler & Rayner 1969 ;1969;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Boletales;Boletinellaceae;;Phlebopus portentosus;(Berk. & Broome) Boedijn;m;saprotrophic;on grass, on ground;;Pegler & Rayner 1969: 377, cited as Phaeogyroporus portentosus;Pegler & Rayner 1969;1969;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus crinitus;(L.) Fr.;m;saprotrophic;on dead wood;;Pegler & Rayner 1969: 385, cited as Panus crinitus;Pegler & Rayner 1969;1969;;;;x;;;;;;;x;;x;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus velutinus;Fr.;m;saprotrophic;on decorticated stump of Theobroma caca, on fallen log in forest,on burnt wood;;Pegler & Rayner 1969: 387, cited as Panus fulvus;Pegler & Rayner 1969;1969;;;;x;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus stuppeus;Klotzsch;m;saprotrophic;on dead wood;;Pegler & Rayner 1969: 390, cited as Panus stuppeus;Pegler & Rayner 1969;1969;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;type of a new species;Phyllogaster pholiotoides;Pegler;m;saprotrophic;on litter;;Pegler & Young 1969: 223;Pegler & Young 1969;1969;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;type of a new species;Psathyrella nigeriensis ;Pegler & T.W.K. Young;m;saprotrophic;;;Pegler & Young 1992: 503;Pegler & Young 1992 ;1992;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Hymenogastraceae;;Psilocybe albobrunnea;M.L. Lutz;m;saprotrophic;Cola nitida;Malvaceae;Pegler 1966: 102;Pegler 1966 ;1966;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Crinipellis glaucospora;(Beeli) Pegler;m;saprotrophic;Cynometra leonensis;Fabaceae;Pegler 1966: 107;Pegler 1966 ;1966;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius arborescens;(Henn.) Beeli;m;saprotrophic;;;Pegler 1966: 112;Pegler 1966 ;1966;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius bekolacongoli;Beeli;m;saprotrophic;;;Pegler 1966: 112;Pegler 1966 ;1966;x;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius haematocephalus;(Mont.) Fr.;m;saprotrophic;;;Pegler 1966: 116;Pegler 1966 ;1966;x;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Hymenogastraceae;;Hypholoma murinacea;Beeli;m;saprotrophic;;;Pegler 1966: 76, cited as Agaricus murinaceus;Pegler 1966;1966;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Parasola plicatilis;(Curtis) Redhead, Vilgalys & Hopple;m;saprotrophic;;;Pegler 1966: 84, cited as Coprinus plicatilis;Pegler 1966;1966;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Psathyrella atroumbonata;Pegler;m;saprotrophic;;;Pegler 1966: 86;Pegler 1966 ;1966;;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Psathyrella glandispora;Pegler;m;saprotrophic;;;Pegler 1966: 87;Pegler 1966 ;1966;;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Pleurotaceae;;Pleurotus palmicola;Beeli;m;saprotrophic;;;Pegler 1966: 97;Pegler 1966 ;1966;;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Agaricus carminescens;Heinem. & Gooss.-Font.;m;saprotrophic;;;Pegler 1968: 499;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Agaricus trisulphuratus;Berk.;m;saprotrophic;;;Pegler 1968: 501;Pegler 1968 ;1968;;;;;;;;;;;;;;x;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Cystolepiota luteohemisphaerica;(Dennis) I. Saar & Læssøe;m;saprotrophic;;;Pegler 1968: 501;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Leucoagaricus goossensiae;(Beeli) Heinem.;m;saprotrophic;on soil under Theobroma cacao;;Pegler 1968: 501, cited as Lepiota goossensiae;Pegler 1968;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Lepiota metulispora;(Berk. & Broome) Sacc.;m;saprotrophic;on soil;;Pegler 1968: 502;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Lepiota zenkeri;Henn.;m;saprotrophic;on soil;;Pegler 1968: 503;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Leucocoprinus cepistipes;(Sowerby) Pat.;m;saprotrophic;on soil in seed-box, lawn;;Pegler 1968: 504;Pegler 1968 ;1968;;;;x;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Melanophyllum haematospermum;(Bull.) Kreisel;m;saprotrophic;;;Pegler 1968: 504, cited as Melanophyllum echinatum;Pegler 1968;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Pluteaceae;;Pluteus reticulatus;Cooke;m;saprotrophic;;;Pegler 1968: 506;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Strophariaceae;;Agrocybe broadwayi;(Murrill) Dennis;m;saprotrophic;;;Pegler 1968: 507;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Coprinellus domesticus;(Bolton) Vilgalys, Hopple & Jacq. Johnson;m;saprotrophic;;;Pegler 1968: 509, cited as Coprinus domesticus;Pegler 1968;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Parasola setulosa;(Berk. & Broome) Redhead, Vilgalys & Hopple;m;saprotrophic;Theobroma cacao;Malvaceae;Pegler 1968: 511, cited as Coprinus setulosus;Pegler 1968;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Hymenogastraceae;;Gymnopilus zenkeri;(Henn.) Singer;m;saprotrophic;on wood, decaying log;;Pegler 1968: 513;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Psathyrella pygmaea;(Bull.) Singer;m;saprotrophic;;;Pegler 1968: 513;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricales family incertae sedis;;Panaeolus semiovatus;(Sowerby) S. Lundell & Nannf.;m;saprotrophic;;;Pegler 1968: 513, cited as Panaeolus antillarum;Pegler 1968;1968;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Chaetocalathus niduliformis;(Murrill) Singer;m;saprotrophic;Morinda citrifolia;Rubiaceae;Pegler 1968: 515;Pegler 1968 ;1968;;;;x;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Chaetocalathus niduliformis;(Murrill) Singer;m;saprotrophic;Uvaria chamae;Annonaceae;Pegler 1968: 515;Pegler 1968 ;1968;;;;x;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Tricholomataceae;;Collybia njalaensis;(Beeli) Pegler;m;saprotrophic;;;Pegler 1968: 517;Pegler 1968 ;1968;;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Crinipellis dusenii;(Henn.) Singer ;m;saprotrophic;;;Pegler 1968: 518;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;type of a new species;Crinipellis ghanaensis;Singer;m;saprotrophic;on fallen twig;;Pegler 1968: 520;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;type of a new species;Crinipellis palmarum;Singer;m;saprotrophic;;;Pegler 1968: 521;Pegler 1968 ;1968;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Omphalotaceae;type of a new species;Marasmiellus afer;Pegler;m;saprotrophic;;;Pegler 1968: 523;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Omphalotaceae;;Marasmiellus inoderma;(Berk.) Singer;m;saprotrophic;;;Pegler 1968: 524;Pegler 1968 ;1968;;;;x;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Omphalotaceae;;Marasmiellus paspali;(Petch) Singer;m;saprotrophic;Zea mays;Poaceae;Pegler 1968: 524;Pegler 1968 ;1968;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius graminum;(Lib.) Berk.;m;saprotrophic;;;Pegler 1968: 527;Pegler 1968 ;1968;;;;x;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius griseoviolaceus;Petch;m;saprotrophic;;;Pegler 1968: 527;Pegler 1968 ;1968;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius haediniformis;Singer;m;saprotrophic;;;Pegler 1968: 527;Pegler 1968 ;1968;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Agaricales;Marasmiaceae;;Marasmius sierraleonis;Beeli;m;saprotrophic;;;Pegler 1968: 530;Pegler 1968 ;1968;;;;;;;;;;;;;x;;
