;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6722;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: root. Associated organism: Allium cepa;Liliaceae;IMI160205;Nigeria;;Quansah, S.K.
6723;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Allium cepa;Liliaceae;IMI160202;Nigeria;;Quansah, S.K.
6724;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Allium cepa;Liliaceae;IMI160201;Nigeria;;Quansah, S.K.
6725;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Vigna unguiculata;Leguminosae;IMI332577;Nigeria;1989;Bekwe, V.I.
6726;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Allium cepa;Liliaceae;IMI160200;Nigeria;;Quansah, S.K.
6727;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Allium cepa;Liliaceae;IMI160199;Nigeria;;Quansah, S.K.
6728;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Solanum tuberosum;Solanaceae;IMI152783;Nigeria;;Erinle, I.D.
6729;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI138012;Nigeria;;Broadbent, J.A. [Dr]
6730;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI300331;Nigeria;1986;Ike
6731;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Sorghum;Gramineae;IMI173991;Nigeria;1973;Rajak, R. [Dr]
6732;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Dioscorea;Dioscoreaceae;IMI131409;Nigeria;1968;Ekundayo, J.A.
6733;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: bud. Associated organism: Phoenix dactylifera;Palmae;IMI314504;Nigeria;1987;Obinwa, E.
