ID;gbifID;phylum;species;authors;country;recordedBy;basisOfRecord;identifiedBy;typeStatus
8912;100219072;Ascomycota;Curvularia cymbopogonis;J.A.Hall & Sivan.,;Sierra Leone;;PRESERVED_SPECIMEN;;
8911;100219073;Ascomycota;Curvularia cymbopogonis;J.A.Hall & Sivan.,;Sierra Leone;;PRESERVED_SPECIMEN;;
8910;100219076;Ascomycota;Coccomyces cocoes;Dennis;Ghana;;PRESERVED_SPECIMEN;;
8909;100219100;Ascomycota;Clypeolella ricini;Racib.;Ghana;;PRESERVED_SPECIMEN;;
8908;100219115;Ascomycota;Clypeolella ricini;Racib.;Togo;;PRESERVED_SPECIMEN;;
8907;100219416;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Guinea;;PRESERVED_SPECIMEN;;
8906;100219421;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Guinea;;PRESERVED_SPECIMEN;;
8905;100219429;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8904;100219448;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8903;100219511;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8902;100219563;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8901;100219566;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8900;100219581;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8899;100219602;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8897;100219650;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8896;100219666;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Sierra Leone;;PRESERVED_SPECIMEN;;
8895;100219687;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Ghana;;PRESERVED_SPECIMEN;;
8894;100219688;Ascomycota;Cochliobolus intermedius;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8893;100219720;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8892;100219770;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8891;100219818;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8890;100219875;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8889;100219930;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Nigeria;;PRESERVED_SPECIMEN;;
8888;100220482;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Sierra Leone;;PRESERVED_SPECIMEN;;
8887;100220485;Ascomycota;Cochliobolus geniculatus;R.R.Nelson;Sierra Leone;;PRESERVED_SPECIMEN;;
8886;100220503;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Sierra Leone;;PRESERVED_SPECIMEN;;
8885;100220504;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Sierra Leone;;PRESERVED_SPECIMEN;;
8884;100220512;Ascomycota;Curvularia eragrostidis;(Tsuda & Ueyama) Sivan.;Ghana;;PRESERVED_SPECIMEN;;
8883;100220563;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Sierra Leone;;PRESERVED_SPECIMEN;;
8882;100220598;Ascomycota;Bipolaris maydis;(Drechsler) Drechsler,;Nigeria;;PRESERVED_SPECIMEN;;
8881;100221721;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Guinea;;PRESERVED_SPECIMEN;;
8880;100221792;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Guinea;;PRESERVED_SPECIMEN;;
8879;100221934;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8878;100221966;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Ghana;;PRESERVED_SPECIMEN;;
8877;100221967;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Ghana;;PRESERVED_SPECIMEN;;
8876;100221969;Ascomycota;Bipolaris oryzae;(S.Ito & Kurib.) Drechsler ex Dastur,;Ghana;;PRESERVED_SPECIMEN;;
8875;100222006;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8874;100222019;Ascomycota;Curvularia lunata;R.R.Nelson & F.A.Haasis,;Nigeria;;PRESERVED_SPECIMEN;;
8873;100222076;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Nigeria;;PRESERVED_SPECIMEN;;
8872;100222135;Ascomycota;Curvularia pallescens;(Tsuda & Ueyama) Sivan.;Sierra Leone;;PRESERVED_SPECIMEN;;
