;n;first;last;origin
Ling;1;1953;1953;European
Liyanage;1;2016;2016;other
Lloyd;1;1917;1917;other
Lockwood;1;2007;2007;other
Locquin;1;1954;1954;European
Lubbe;1;2004;2004;other
Luc;3;1951;1953;European
Luecking;7;1998;2014;European
Lunghini;4;1978;1982;European
Lustrati;1;1980;1980;European
Maas Geesteranus;1;1975;1975;European
Maba;4;2014;2015;African
Maggi;2;1978;1994;European
Maharachchikumbura;1;2014;2014;other
Mahoney;1;1969;1969;other
Mains;1;1949;1949;other
Makun;1;2007;2007;African
Manier;3;1972;1974;European
Marbach;1;2000;2000;European
Marley;1;2002;2002;other
Mason;1;1941;1941;European
Massee;8;1899;1910;European
Masuka;1;1999;1999;African
Matzer;1;1996;1996;European
Mayor;1;1951;1951;European
Mayorquin;1;2016;2016;other
Mbogne;1;2015;2015;African
Meeboon;1;2013;2013;other
Melendez-Howell;1;1965;1965;European
Mercado Sierra;1;1997;1997;European
Merli;1;1992;1992;European
Meswaet;1;2019;2019;African
Mibey;1;1997;1997;African
Millogo;1;2004;2004;African
Minter;1;1980;1980;European
Mohammed;1;1994;1994;European
Montagne;1;1845;1845;European
Montegut;1;1967;1967;European
Mordue;2;1980;1980;European
Moreau C;11;1949;1959;European
Morris;1;1990;1990;European
Mossebo;2;2002;2017;African
Motyka;1;1938;1938;other
Mueller E;1;1962;1962;European
Mueller J;1;1893;1893;European
Mulder;1;1982;1982;European
Nag Raj;2;1993;1995;other
Nicholson;1;2000;2000;European
Nicot;1;1955;1955;European
Nielsen;1;2010;2010;European
Nipa;1;2020;2020;other
Nirenberg;1;1998;1998;European
Nwokocha;1;2015;2015;African
Nyarko;1;2006;2006;African
Ocansey;1;2019;2019;African
Oehl;2;2011;2014;European
Ogundana;2;1979;1982;African
Ogunlana;1;1975;1975;African
Okafor;1;1965;1965;African
Okhuoya;1;2010;2010;African
Okigbo;1;2010;2010;African
Okoli;1;2007;2007;African
Olou;2;2019;2019;African
Omoifo;1;1996;1996;African
Ono;2;1979;2015;other
Osagualekhor;1;2005;2005;African
Osemwegie;7;2002;2014;African
Oso;4;1975;1977;African
Osuji;1;2013;2013;African
Ou;1;1972;1972;other
Ouoba;1;2015;2015;African
Oyetayo;1;2011;2011;African
Oyetunji;1;2007;2007;African
Paez de Badillo;1;1982;1982;other
Pagano;1;1995;1995;European
Palisot de Beauvois;2;1804;1807;European
Papierok;1;1982;1982;European
Paris;1;1902;1902;European
Pasqualetti;1;1999;1999;European
